"Round ID","Tournament Name","Team One","Team Two"
770,"Polish First Division 2004 - finals","COMPUTERLAN","UNIA LESZNO"
3749,"F - Venice Cup","USA 2","Germany"
524,"South American Championship","Argentina","Brasil"
497,"41st WBTC-BBO2","MONACO","ITALY"
827,"Polish First Division 2005 final","CHLODNIA","KADIMEX"
735,"Italian Club Team Champ Women","Siena","Catania"
1064,"French teams championship","Koumetz","Izisel"
5784,"INDONESIA QUAL MULTIEVENT WOMAN","DKI JAKARTA","CENTRAL JAVA"
1019,"Lady Milne 2004","Scotland","England"
945,"2006 PABF Youth Championships - Junior","Chinese Taipei","China"
2758,"Stara Zagora 2007 Open Teams","Leroumain's boys","Kambancho"
4601,"Gold Cup","Stevens","Allfrey"
4124,"Sao Paulo 2009","SPAIN","ITALY"
2749,"2007 Vanderbilt - Rd of 16 - 3rd Qtr","Jacobs","Bramley"
3508,"BBO2 - 51st European Championships 2012","Hungary","Turkey"
4677,"Taiwanese Team Trial Final","Yeh Bros","Dragon"
5292,"White House Champions' Cup 2008","Bamberger Reiter","Parioli Angelini"
5031,"2007 NOT Semifinal","Haughie","Noble"
1374,"Camrose","Wales","N Ireland"
903,"Polish Premier Leauge - FINAL","CONSUS Kalisz","ASKO TECH Warsaw"
3842,"WMSG BEIJING 2008","DENMARK","PAKISTAN"
5252,"English Open Trials Semi Final","Armstrong","Liggins"
5561,"BBO1-2015WBTC-BB","SWEDEN","USA2"
1632,"2007 US Senior Trials","MELTZER","LYNCH"
1793,"NTU Cup 2008","BTU-P","Shining Pig"
4994,"Bermuda Bowl 2007","USA 1","SOUTH AFRICA"
5148,"Bermuda Bowl 2007","USA 1","SOUTH AFRICA"
3909,"52nd EBTC-BBO3","GERMANY","ICELAND"
163,"BBO1-2nd Mind Sports Games","POLAND","SWEDEN"
5024,"China JPD Cup 2006","Zhongjian","Sichuan"
2809,"2013 Vanderbilt R32","Cayne","Rigal"
4283,"45th PABF Championship","New Zealand","Australia"
185,"USBC Final","Welland","Nickell"
1230,"Gelibolu Peace Cup","Turkiye","France"
4015,"Sao Paulo 2009","BULGARIA","NORWAY"
5458,"2014 USBC SF B","Fleisher","Diamond"
1299,"Junior Camrose","Scotland","Ireland"
1354,"Camrose","Scotland","Wales"
3323,"Sao Paulo 2009","GERMANY","SWEDEN"
2170,"B European Bridge Team Champ. OPEN","BULGARIA","ITALY"
5560,"B 2013 USBC Semi Final","Nickell","Kranyak"
674,"6th European Champions Cup","TC Parioli","AZS PWr Sygnity"
413,"Seniors Bowl 2007","INDONESIA","USA 2"
3415,"Sao Paulo 2009","USA1","USA2"
1509,"EC OPEN TEAMS","LESNIEWSKI","HUNGARY GAMAX"
3626,"41st WBTC-BBO7-DOSB","CANADA","GERMANY"
5038,"Tolani Grand Prix 2007","Shre Cement","India Blues"
2570,"VI BERMUDA TRIANGLE TEAMS CUP","Agressor","Gudok-2"
5150,"WMSG BEIJING 2008","ENGLAND","GERMANY"
5529,"2006USBC","EKEBLAD","MELTZER"
3874,"BBO3-2015 WBTC-BB","NEW ZEALAND","BULGARIA"
5081,"12WBO(1/2)(ladies)_3_1","China","USA"
120,"Brighton Open Trials","Townsend","Sandqvist"
2028,"2008 USBC QUARTERFINALS","JACOBS","SPECTOR"
5573,"2007 USBC","NICKELL","DEUTSCH"
4322,"BBO3-2015 WBTC-BB","BULGARIA","BRAZIL"
5406,"2008 ABF National Open Teams Semi-Final (B)","Green","Rothfield"
3957,"BBO1 - Euro Team 2012","Bulgaria","Italy"
1960,"BBO1-2015WBTC-BB","POLAND","FRANCE"
1356,"Camrose","England","Ireland"
5385,"BBO6-2015WBTC-BB","POLAND","ENGLAND"
5041,"Polish Trials - SF","CICHOCKI","BURAS"
2388,"E European B.T.Ch. SENIORS","FRANCE","POLAND"
702,"Polish Trials - Final","KOZIKOWSKI","CICHOCKI"
765,"Bermuda Bowl 2007","USA 1","NORWAY"
3756,"Bermuda Bowl 2007","INDONESIA","NETHERLANDS"
4861,"EUBC - Bruges","Hist","Warsaw 1"
1341,"6th EOBC-BBO1-Mixed Teams","AUSTRIA","NED AUT"
1864,"41st WBTC-BBO7","INDONESIA","GERMANY"
2421,"WMSG BEIJING 2008","BULGARIA","ENGLAND"
3942,"D - Venice Cup","Italy","USA 2"
1248,"Camrose","Wales","CBAI"
4620,"Knock - Out Team Cup Netherlands","Westra","Crash"
383,"Campionati Soc. 2005","TCP RM Angelini","Gr.Sp.Ass. Allegra"
3386,"A - 18th NEC CUP Qualifying","Japan Women","Golden Bull"
330,"2010 Vanderbilt Final","Zimmermann","Fleisher"
2445,"2009 USBC A Round of 16","Diamond","Rogoff"
3986,"Sao Paulo 2009","ITALY","USA 1"
4557,"BBO5 - Euro Teams 2012","Turkey","Bulgaria"
3829,"6th EOBC-BBO1-Open Teams","COOREMAN","SMILGAJS"
753,"2010 USBC Final","Fleisher","Diamond"
3064,"Women Elite Tournament 2006 - A","Germany","Italy"
443,"2008 USJBC - FINAL","CHUBUKOV","FOURNIER"
3189,"2010 Vanderbilt R8 A","Di Knijff","Zaleski"
1729,"1st Cross Strait Invitational Kunshan 2006","Taiwan Jiangyou","Zhejiang Taizhou"
4950,"English Open Trials - semi final","De Botton","P Hackett"
5138,"A - Venice Cup 2011","INDONESIA","ENGLAND"
3377,"F - Venice Cup 2011","Sweden","England"
3930,"41st WBTC-BBO1-BB","POLAND","ITALY"
362,"A - Bermuda Bowl 2011","USA 2","Netherlands"
1681,"White House 2005","Germany","Dutch Ladies"
1583,"2005 US Women's Bridge Championship","Sprung","Quinn"
3535,"52nd EBTC-BBO5","CROATIA","SWEDEN"
3833,"F - Venice Cup 2011","Sweden","Canada"
5474,"2009 Spingold","Jansa","Diamond"
824,"Polish First Division 2005 final","CHLODNIA","KADIMEX"
4356,"BBO4-2016EBTC","BULGARIA","GERMANY"
2750,"1st Cross Strait Invitational Taicang 2007","Xin Zhu","Wellwiss"
4497,"52nd EBTC-BBO1","NORWAY","POLAND"
3757,"WMSG BEIJING 2008","TURKEY","ENGLAND"
4386,"BBO1 - Euro Team 2012","Netherlands","France"
336,"ITALY CUP 2011","VINCI","BRENO BRIDGE"
4533,"52nd EBTC-BBO5","BULGARIA","CROATIA"
4657,"SAMOBOR 2004 - Bridge Meeting (open)","AUSTRIA","BULGARIA"
4626,"NEC CUP","JAPAN","ISRAEL"
5153,"Seniors Bowl 2007","USA 2","USA 1"
1348,"Camrose","Wales","Ireland"
4892,"BBO4-2nd Mind Sports Games","USA","FRANCE"
3101,"GOVERNOR CUP","NORTH SULAWESI","DKI JAYA"
1331,"English open Trials","Armstrong","Allfrey"
4667,"Israeli Team Cup Final","Ofel Tal","Netzer Shlomo"
3247,"3rd European Open Championships","BESSIS","ZIA"
651,"Campionati Soc. 2005","TCP RM Angelini","Gr.Sp.Ass. Allegra"
4914,"2006 Vanderbilt - Hollman vs Chang","Hollman","Chang"
5558,"USBC Welland vs Robinson","Welland","Robinson"
2567,"China JPD Cup 2006","Shihua","Jiangsu"
470,"13th NEC CUP  Final","THE LATIN","ISRAEL"
575,"ALL INDIA HCL OPEN","J.P.Goenka","Sree Cement"
2930,"Women Elite Tournament 2006 - A","USA","Italy"
3196,"2009 USBC C Quarterfinal","Ozdil","Fleisher"
2418,"2008 National Open Teams Rnd12 (A)","Green","Genc"
4808,"Polish trials OPEN","Team 1","Team 2"
2961,"EUBC - Bruges","Warsow 1","Warsow 2"
3898,"Bermuda Bowl 2007","SWEDEN","NETHERLANDS"
1172,"English Open Trials","Armstrong","Byrne"
3582,"Bermuda Bowl 2007","ITALY","NORWAY"
471,"2008 Yeh Bros Cup","Italy II","Sweden"
3326,"BBO5-2015WBTC-VC","USA-1","JAPAN"
5486,"B 2013 USBC Semi Final","Nickell","Kranyak"
1691,"Polish Trials","BURAS","KALITA"
2337,"D European B_T_Ch_ OPEN","LUXEMBOURG","FRANCE"
2595,"Tallinn Festival","FIn BLUE","Pealinn"
641,"2004 Spingold Final","Spector","Nickell"
2658,"EC 2004 Italy-Norway","Italy","Norway"
3073,"EC 2004 Greece-Italy","Greece","Italy"
503,"A - 2013 YEH BROS Final","Italy","Netherland"
4223,"BBO2 - Euro Team 2012","England","Germany"
158,"2011 Vanderbilt Final","Grue","Fleisher"
1636,"2007 US Senior Trials","ASSEMI","LYNCH"
4373,"BBO2 - Euro Team 2012","Israel","Monaco"
3703,"12WBO_8_2","Poland","Austria"
2623,"Women Elite Tournament 2006 - C","Canada","Netherlands"
1476,"Australian Open Team Playoffs 2007 Final","Chadwick","Nagy"
4363,"52nd EBTC-BBO2","NORWAY","BULGARIA"
2517,"SELECTION PEKIN 2008","BOMPIS","LEVY"
3025,"Modalfa Top 12","Team 1","Team 2"
1727,"ITALIAN CLUBS TEAMS CHAMPIONSHIPS 2013","C.LO TENNIS PALERMO","ALLEGRA"
3961,"52nd EBTC-BBO5","GERMANY","FRANCE"
1472,"2006 Camrose Weekend 1","Northern Ireland","Scotland"
5816,"BBO2-14th World Youth Teams","POLAND","USA1"
1165,"Camrose","Wales","NIBU"
1280,"Junior Camrose","Ireland","Northern Ireland"
5565,"2008 USBC - SF2 - SEMI-FINALS NICKELL vs WELLAND","NICKELL","WELLAND"
668,"Italian Club Team","Torino Allegra","Tennis Club Parioli"
4044,"41st WBTC-BBO6-VC","USA2","POLAND"
3922,"Sao Paulo 2009","RUSSIA","NETHERLANDS"
600,"13th NEC CUP  Final","THE LATIN","ISRAEL"
5484,"Champions' Cup 2013","ASD REGGIO EMILIA","K1"
4452,"BBO4-2016EBTC","BULGARIA","ITALY"
34,"Butler Pairs Ned - Pol","NS","EW"
1943,"41st WBTC-BBO5","TURKEY","NETHERLANDS"
2917,"ITALIAN OPEN TEAMS CHAMPIONSHIPS","BASSINI","ANGELINI"
2899,"Selection Junior Pekin","Malarme","Bessis.O"
3340,"B-YEH BROS CUP Qualifying","Italy","China Blue"
1281,"NEC CUP","Russia/Poland","Poland"
5262,"Australian NOT SF - A","Horwitz","Milne"
5195,"41st WBTC-BBO3","USA2","GERMANY"
5475,"Australian NOT SF-B","LEBOWITZ","HAUGHIE"
2195,"Sanchen Cup Beijing 2008","Jinrongjia","Sanchen"
4546,"8th European Bridge Champion's Cup","NC ISLANDE","ASD ANGELINI"
5776,"PABF 2008 Round Robin - Womens RR 9","China","New Zealand 1"
2281,"A European B_T_Ch_ OPEN","TURKEY","ITALY"
130,"JP Morgan Inter-City Bridge Championship","Weide","Warsaw"
3557,"6th EOBC-BBO5-Open Teams","REKSTAD","SMILGAJS"
2811,"2009 USBC B Round of 32","Meltzer","Nussbaum"
771,"10thWYTC Final Match A","Poland","USA1"
1352,"Camrose","EBU","England"
46,"Schapiro Spring 4s - Semi A","Byrne","Wolfarth"
3309,"BBO3-2016EBTC","GERMANY","AUSTRIA"
4035,"A - Bermuda Bowl 2011","USA 1","Italy"
1152,"NEC CUP","USA/EGYPT","POLAND"
958,"2004 European Youth Bridge Team Champ.","NET","AUT"
87,"CI Teams Wellington","Gruschow","McLeod"
3287,"TGR's Super League","Scerri","Dhondy"
918,"BBO3-14th World Youth Teams","NETHERLANDS","POLAND"
2377,"EBL Junior","Sweden","Poland"
4569,"HK PABF Trial","Ringo's Team","KF Mak's Team"
411,"Venice Cup 2007","USA 1","GERMANY"
592,"CNTC Final","L'Ecuyer","Fraser"
5427,"2007USWBC","SULGROVE","BAKER"
5701,"Wagar Teams","Narasimhan","Sprung"
3636,"1st World Youht  Congress","POLAND","SCOTLAND"
802,"Sao Paulo 2009","ITALY","USA 2"
3089,"National Club League 2006 Xiantao China","Shan Xi Qin Lian","Huan Qiu Shi Bao"
1412,"6th EOBC-BBO2-Mixed Teams","CONNECTOR","ERLENDSKJETNE"
1241,"Camrose","England","N Ireland"
1947,"WMSG BEIJING 2008","RUSSIA","TURKEY"
4784,"Taiwanese Team Trial Final","Yeh Bros","Dragon"
5211,"Sao Paulo 2009","ENGLAND","INDONESIA"
2797,"D European B.T.Ch. OPEN","LATVIA","FRANCE"
5235,"2008 ABF National Open Teams Semi-Finals (A)","Robinson","Rosendorff"
5109,"Italian Club Team Championships","Angelini-TC Parioli","Lucignano-V.Fabbr."
4331,"A - Bermuda Bowl 2011","Iceland","USA 2"
2541,"White House Juniors 2009","Netherlands Girls","Poland U25"
5467,"2007 Gold Coast Teams SemiFinal 2","Holland","Courtney"
2287,"B European B_T_Ch_ OPEN","FRANCE","ICELAND"
4760,"Brighton Exhibition Match","de Botton","Hauge"
4937,"BBO3-2015WBTC-SB","USA1","SWEDEN"
5374,"2006USBC","NICKELL","JACOBS"
4159,"Sao Paulo 2009","USA 1","NETHERLANDS"
1677,"Yeh Bros Cup","India Venkatesh","Italy Cayne"
3811,"BBO3-2016EBTC","GERMANY","SPAIN"
4011,"BBO4-2016EBTC","IRELAND","CROATIA"
327,"14th NEC CUP Final","CHINA Women","JAPAN Open"
420,"6th European Champions Cup","TC Parioli","AZS PWr Sygnity"
3660,"BBO4-2016EBTC","BELGIUM","CYPRUS"
4534,"52nd EBTC-BBO2","ENGLAND","SWEDEN"
1608,"Aust youth playoff","Kroch","Chan"
1585,"2005 US Women's Bridge Championship","Bernstein","Sprung"
2166,"A European Bridge Team Championships OPEN","ENGLAND","BULGARIA"
5175,"Sao Paulo 2009","CHINA","FRANCE"
2353,"GHTD Cup China 2006","Beijing Shouchuang","Pudong Pufa"
5756,"BBO4-2nd Mind Sports Games","POLAND","FRANCE"
1669,"Yeh Bros Cup","Yeh Bros","China LongZhu Open"
4909,"White House International Teams","Ventin","Orange green"
547,"Brazilian Championship","d'Orsi","Chagas"
723,"Final Dutch Teams Championships","'t Onstein 2","Het Witte Huis"
1109,"13th NEC CUP","Fu-Zhao","GELLER"
2971,"Tallinn festival teams","Gromov","Kirilenko"
2190,"1st Cross Strait Invitational Taicang 2007","Jiang Su","Tai Nan"
3705,"White House Juniors","Germany","Rumania"
1866,"E - Venice Cup","France","China"
4045,"Bermuda Bowl Estoril 2005","USA 2","New Zealand"
346,"2013 Vanderbilt Final","Auken","van Prooijen"
5372,"2006USBC","NICKELL","JACOBS"
1495,"BBO5-2nd Mind Sports Games","IRELAND","MONACO"
3592,"WMSG BEIJING 2008","CANADA","RUSSIA"
5795,"41st WBTC-BBO4","ENGLAND","CHINA"
2805,"USBC2006","ONSTOTT","FOUT"
2156,"C European Bridge Team Championships OPEN","FRANCE","RUSSIA"
3475,"BBO4-2015WBTC-SB","ENGLAND","INDONESIA"
5715,"European Open Champ - Women Teams - Final - B","CBC Milano","Dutch Blue"
2042,"2008 USBC QUARTERFINALS - JACOBS v SPECTOR","JACOBS","SPECTOR"
3646,"Olympiads","China","Austria"
2576,"11th NEC CUP  Qualifying","YAMADA","ITALY"
2054,"2014 USBC QF D","Fireman npc","Bramley"
5183,"Bermuda bowl Estoril 2005","USA 1","USA 2"
5364,"A 2012 USBC Semifinal","Nickell","Milner"
1076,"French Teams Championship","Rocafort","Zimmermann"
2951,"China JPD Cup 2006","Meikuang","Pudong"
4012,"BBO4-2015WBTC-BB","AUSTRIA","NORWAY"
5738,"2009 Wagar Final","Berkowitz","Quinn"
2321,"SELECTION PEKIN 2008","LEVY","PILON"
5180,"E - Senior Bowl 2011","France","Poland"
4710,"2008 Senior KO Final","Milner","DeMartino"
3586,"Bermuda Bowl 2007","USA 2","BRAZIL"
5043,"VI BERMUDA TRIANGLE CUP","Kirilenko","Kowalski"
3243,"2007 USBC","EKEBLAD","HARRIS"
5530,"2007 USWBC","SULGROVE","BAKER"
2398,"2009 Spingold Rd 0f 16 - Nickell - Jansma 1st qtr","Nickell","Jansma"
3052,"Balkan Teams","Romania 1","Turkey"
3981,"BBO4 - Euro Team 2012","Poland","Netherlands"
3643,"B - 18th NEC CUP Qualifying","BULLGALIAN ALL STAR","SARA"
5106,"Australian Spring Nationals Semi-Final","Gumby","Lilley"
2290,"Women Elite Tournament 2006 - A","Italy","Sweden"
4052,"WMSG BEIJING 2008","POLAND","ENGLAND"
4128,"D - Venice Cup 2011","Indonesia","Poland"
4200,"A - Bermuda Bowl 2011","Poland","Italy"
3973,"BBO2 - Euro Team 2012","Turkey","Sweden"
5213,"Sao Paulo 2009","POLAND","USA 2"
4412,"6th European Champions Cup 2007","REYKJAVIKUR"," FRANCE"
1242,"2007 Camrose Trophy","England","Holders"
3965,"BBO3 - Euro Teams 2012 ","Israel","Hungary"
5765,"E - Venice Cup 2011","England","Netherlands"
760,"41st WBTC-BBO2","ITALY","MONACO"
986,"2008 Yeh Bros Cup","Italy II","Italy I"
2464,"USBC2006","WELLAND","MELTZER"
3566,"52nd EBTC-BBO2","DENMARK","ENGLAND"
1641,"Women Elite Tournament 2006 - D","Canada","Germany"
3521,"BBO3-2nd Mind Sports Games","SCOTLAND","ITALY"
4437,"BBO3-2016EBTC","NETHERLANDS","BULGARIA"
5704,"B - Venice Cup 2011","France","Indonesia"
114,"BrazilianTeamTrials","JEOVANI","CHAGAS"
5567,"Polish Premier League 2009 SF-B","UNIA","SYGNITY"
2462,"Olympiads - Women","RUSSIA","GERMANY"
3777,"44th PABF Championships","Australia","New Zealand"
4187,"41st WBTC-BBO3-BB","EGYPT","INDONESIA"
4674,"Polish Bermuda Bowl Trials 2007","NATIONAL TEAM","CHALLENGERS"
1060,"2007 Camrose Trophy","Northern Ireland","Scotland"
3885,"BBO4-2016EBTC","ISRAEL","DENMARK"
2022,"2008 USSBC - QUARTERFINALS - 4 V 5","ONSTOTT","DEMARTINO"
2732,"EBL Team Champs Malmoe 04","Bulgaria","Norway"
2319,"Slava Cup 2007","Team 1","Team 2"
879,"Eur champ Pau","Italy","Russia"
4048,"PABF 2008 Round Robin - Open RR14","Van Riel","Rothfield"
4625,"Team Orange - Ireland","Ireland","Team Orange"
5482,"41st WBTC-BBO1","POLAND","ITALY"
2810,"2009 USBC A R32","Cohler","Yates"
1851,"BBO1-2015WBTC-BB","BULGARIA","SWEDEN"
4263,"44th PABF Championships","Indonesia","China Hong Kong"
2831,"USBC2006","ONSTOTT","FOUT"
3708,"41st WBTC-BBO3-BB","INDIA","INDONESIA"
2619,"EC 2004 Sweden-Russia","Sweden","Russia"
4474,"Champions' Cup 2013","Monaco","Bulgaria K1"
2305,"A European B.T.Ch. OPEN","ITALY","PORTUGAL"
2017,"2008 USBC - QF2 - NICKELL v MAHAFFEY","NICKELL","MAHAFFEY"
5640,"2007 Yeh Bros Cup Invitation","USA 2","Yeh Brothers"
3610,"BBO1-2nd Mind Sports Games","Poland ","France"
901,"Eur champ Pau Open","Germany","Italy"
2412,"2009 Vanderbilt r16","Katz","Deutsch"
3178,"selection senior pekin","Lasserre","Bergheimer"
920,"BBO3-14th World Youth Teams","NETHERLANDS","POLAND"
2650,"C European B_T_Ch_ OPEN","FRANCE","GERMANY"
4107,"Sao Paulo 2009","BRAZIL","GERMANY"
700,"Geologi Cup","Senior","New Zealand"
1370,"Camrose","Wales","EBU"
4420,"Atlantic Grupa Bridge Cup -CLOSED RR","AUSTRIA","GERMANY"
311,"13th NEC CUP  Final","THE LATIN","ISRAEL"
683,"A -Bermuda Bowl 2011","USA 2","Netherlands"
2169,"White House Juniors","Norway","Netherlands Blue"
5022,"Gold Coast 2006","Holland","Brifman"
3206,"2010 Vanderbilt R8 A","Zimmermann","Onstott"
2702,"B European B_T_Ch_ OPEN","IRELAND","BULGARIA"
5755,"Camrose Trophy Match 3","Wales","N Ireland"
866,"Eur champ Pau Seniors","Scotland","France"
3313,"Sao Paulo 2009","RUSSIA","GERMANY"
301,"Coupe de France","Bessis","Rau"
1799,"41st WBTC-BBO2","CANADA","USA1"
1430,"6th EOBC-BBO2-Mixed Teams","NED AUT","ALERTPLUS"
3310,"BBO3-2015 WBTC-BB","DENMARK","USA-2"
5553,"2014 Vanderbilt B SF","Nickell","Gordon"
5780,"WHite House top 16","Ventin","France"
842,"Eur champ Pau","England","Portugal"
4008,"BBO4-2nd Mind Sports Games","DENMARK","INDIA"
4635,"Canadian National Championships","Thurston","Frukacz"
706,"English Ladies' Trials","Team 1","Team 2"
4560,"BBO4 - Euro Team 2012","Netherlands","Norway"
811,"Bermuda Bowl 2007","USA 1","NORWAY"
4332,"BBO1 - Euro Team 2012","Italy","Monaco"
518,"USBF SENIORS TRIALS ","METZLER","ONSTOTT"
4350,"41st WBTC-BBO6-VC","FRANCE","ENGLAND"
5520,"2013 Spingold A SF","Grue","Schwartz"
3947,"1st World Youht Congress","GREECOURA","CKIS SKAWINA"
4877,"Gold Coast 2008","Marston","Rothfield"
5026,"COPPA ITALIA 2006","T.C. PARIOLI - BOVE","PADOVA - ROMANIN"
1407,"6th EOBC-BBO5-Mixed Teams","Gross","Kapadokya"
4785,"Hellenic National Team Trials","Karamanlis","Zotos"
1883,"WMSG BEIJING 2008","USA","HUNGARY"
899,"Eur Champ Pau Senior","Germany","Italy"
5093,"Campionati Soc_ 2005","TCP RM Angelini","GS Idea Br. TO"
3336,"A-18th NEC CUP Qualifying","SARA","Otvosi"
1282,"English Camrose Trial","de Botton","Townsend"
825,"Polish First Division 2005 final","KADIMEX","CHLODNIA"
1040,"China-France Lady Match 1","China Lady","France Lady"
3719,"BBO2-2015WBTC-BB","CHINA","BRAZIL"
3388,"1st World Youth Congress","CKIS SKAWINA","NED GIRLS"
4642,"2007 TURKEY WINTER TEAMS CHAMPIONSHIP","KOLANKAYA","MINA"
5746,"41st WBTC-BBO1","USA2","ENGLAND"
4738,"Taiwanese Team Trial Final","Yeh Bros","Dragon"
440,"2008 Vanderbilt Final - #12 vs #22","Rubin","Team Poland"
3804,"BBO1-2015WBTC-BB","JAPAN","BRAZIL"
1935,"Sao Paulo 2009","USA 2","GERMANY"
846,"Eur champ Pau","Iceland","Italy"
5720,"B-4th SportAccord WMG-Teams","ENGLAND","NETHERLANDS"
531,"Aust Team Trials Open","Neill","Marston"
1724,"Festival International Monaco 2008","LAVAZZA","MIROGLIO"
388,"Tallinn Fest Finals","Lasse","Belarus"
3657,"BBO1 - 51st European Team Championships 2012","Estonia","Russia"
5088,"WMSG BEIJING 2008","USA","CHINA"
4337,"B - Bermuda Bowl 2011","Sweden","New Zealand"
3200,"2010 USBC Quarterfinal A","Nickell","Harris"
4465,"Japanese Open Team Trials","Shimuzu","Teramoto"
5231,"2008 ABF National Open Teams Semi-Final (A)","Robinson","Rosendorff"
1570,"2nd CRETE B_ FESTIVAL","CUPER","PANOPULOS"
5552,"2014 Spingold Semi-Final B","Team Assael","Schwartz"
2979,"PULA Bridge Festival OPEN TEAMS","Fredin","Kaya"
3639,"Bermuda Bowl 2007","POLAND","USA 1"
5605,"Eur champ Pau Seniors","Germany","Netherlands"
1877,"Seniors Bowl 2007","ITALY","USA 2"
4359,"BBO3-2016EBTC","ISRAEL","NETHERLANDS"
2566,"BKBT Teams","Poland","Netherlands"
3268,"1st Cross Strait Invitational Taicang 2007","Tai Cang","Sheng Yuan"
1521,"The 3rd All-China Games","Shanghai","Beijing"
340,"VS 2012 Spingold Final","Monaco","Nickell"
1795,"ITALY CUP 2014","LANCIANO","LAVAZZA"
220,"Gold Coast 2006","Holland","Brifman"
465,"Polish Team Trials","Jagniewski","Araszkiewicz"
5451,"B 2013 USBC Semi Final","Nickell","Kranyak"
2023,"2013 Spingold Quarterfinal","Hamman","Gromov"
2861,"Hong Kong Inter-City","GuangZhou","Geo Kutai Kartanega"
1862,"Sao Paulo 2009","CHINA","SWEDEN"
3450,"6th EOBC-BBO2-Open Teams","REKSTAD","ISRABEL"
2632,"D European B_T_Ch_ OPEN","POLAND","ICELAND"
4921,"Societario 2008","ANGELINI BT TCP","REGGIO EMILIA"
360,"11th European Champions Cup","Allegra","Angelini"
3158,"Stara Zagora 2007 Open Teams","Slaveykov.bg","Botev-Vraca"
1311,"Junior Camrose","Scotland","England"
1781,"2007 NOT","Brogeland","Oz-One"
3697,"Seniors Bowl 2007","FRANCE","USA 2"
2665,"EBL Team Champs Malmoe 04","BEL","POL"
5716,"Nat WOMEN Final 2009","HOFFMAN","JAGELMAN"
1647,"2009 USBC B USA2 Round of 32","Rogoff","Jacobs"
3030,"Indonesian National Open Team","Bank Mandiri Dist X","Bhinneka Garuda"
3782,"45th PABFC","New Zealand","Indonesia"
1919,"BBO3-2015WBTC-BB","BULGARIA","SWEDEN"
3425,"BBO3-2016EBTC","ITALY","PORTUGAL"
