"Zhmak","Kirilenko"
"DAMAYANTI ","INDONESIA"
"Soloway P","Nickell"
"snehashish","INDIAN RAILYAWS-A"
"Diklic","Croatie"
"Drewski","Schwartz"
"Tobing R","Mitra Buana"
"Compton","Ventin"
"THUILLEZ","FRANCE"
"Venkatesh","Wellknit"
"Xiang RM","Nong Fa Hang"
"ZIMMERMAN","MONACO  Z"
"CULLIN. P","SWEDEN"
"Nadar","India National"
"L. Cohen","Meltzer"
"Zheng YX","Shihua"
"JACOBS","USA 1"
"Yu ZH","Su Zhou"
"Fernandes","Aloi"
"Thorp","ACT"
"Budkin D.","BUDKIN"
"Arrigoni","Italy"
"Cole","Northern Ireland"
"Westra","De Lombard"
"Karpenko","Team 1"
"Sikora","Warsaw 1"
"Van Mechel","Gent"
"Chmurski","Kasle"
"MORSE","ROBINSON"
"S.Panelewe","Indonesia"
"Igla","Poland U20"
"D Kowalski","ASKO TECH Warsaw"
"GRUE","Grue"
"Lall","Nickell"
"bates","METZLER"
"meckstroth","Nickell"
"MARTENS Kr","AUKEN"
"Kenji","NAITO"
"Piotr krus","Warsow 2"
"Trendafilo","AUTBUL"
"CHAMMAA","IMAN"
"Woodridge","Fireman"
"Rueda","Ayacucho"
"R. Welland","Mixed"
"Develin","LIen"
"D.Jacob","Eisenberg"
"Charney","Not the Empire"
"Churlin","Real"
"Hausler","BAMBERGER"
"AUKEN Sabi","AUKEN"
"SUHAS V","Sunil Machar"
"Bessis O","Gaviard"
"Subroto","Central Java"
"molberg","Norway"
"Bizon","Team2"
"Fisher.L","ISRAEL"
"Jagniewski","Team 2"
"Meckstroth","USA 1"
"C. Martell","B.C. Milano - Pozzi"
"DHONDY","England"
"T.Verbeek","NS"
"Nowosadzki","Poland U25"
"Ron Smith","Deutsch"
"Braithwa","Haughie"
"G Jones","Wales"
"Liu Yue","Dong Qi 9"
"Kristina W","Indonesia"
"Green","AUSTRALIA"
"De Tessier","Volcker"
"Duboin G","Italy"
"GARCIA DA ","ARGENTINA"
"Shah","England U20"
"Hirst","Republic of Ireland"
"CHMURSKI","POLAND"
"Janssens H","SQUEEZE"
"Tuszynski","POLAND"
"KARAIVANOV","Bulgaria"
"Diamond","Diamond"
"Caplan","Havas"
"Kychanov","Team 2"
"Frey","VENTIN"
"R. Milner","Mixed"
"Chambers","LYNCH"
"MULTON","ZIMMERMANN"
"Langen","SINGSAAS"
"GOLDBERG","USA 2"
"Liggins","England "
"Wichmann","SPAIN"
"GORDON","CANADA"
"Gonyaykin","Team 1"
"MONTANARI","BRIDGE BOLOGNA"
"Moller Sor","Denmark"
"DUGUET Ma","Alain LEVY"
"Lauria","TC PARIORI"
"S. IMAI","SARA"
"manah","Kabra"
"FOUT","FOUT"
"THOMSON Ia","AUSTRALIA"
"VILLAS-BOA","Brazil"
"Hop","NETHERLANDS B"
"BOCCHI","G.S. ALLEGRA"
"Teramoto","TAJIMA"
"Nagy","Haughie"
"Yaniv Zack","Herbst"
"Yamada","JAPAN SENIOR"
"Aksoy","Bodrum BC Turkey"
" R","Campos"
"West","Onu"
"FENG","China"
"Imakura","TAJIMA"
"Chubarova","Team 1"
"HELNESS Tor","NORWAY"
"ARONOV","BULGARIA"
"Covalciuc","Berkowitz"
"MECKSTROTH","USA"
"Robinson","Thomson"
"Zhang LiGa","Beijing HongNiu"
"JUREK","AWAY"
"Alex Loh","Singapore"
"FANTONI","MONACO FMB"
"Leibowitz","Leibowitz"
"Monsegur","ARGENTINA"
"Mullamphy","Haughie"
"Narasimhan","NARASIMHAN"
"PEPSI","Sygnity"
"Brink","Changes"
"Jagniewski","Team Poland"
"Tian ZQ","Pu Dong Pu Fa"
"M. Fuadi","WEST SUMATERA"
"PIZZA","FIORETTI"
"Robinson","ROBINSON"
"Polii","Djarum I"
"j hop","Netherlands I"
"KHAZANOV","RUSSIA"
"VORONOV","RUSSIA"
"Allouche-G","France "
"MIURA","Japan-Czech"
"West","JACOBS"
"NICKELL","NICKELL"
"Rimstedt","Hansen"
"Marcinski","L'Ecuyer"
"Zsak","Tutu"
"Peter Yeun","Buddies"
"Luiz","M Teixeira"
"Waterlow","Hasenson"
"Sbarigia","NBI Roma - Sbarigia"
"Zotos","Greece"
"ZHANG Yala","CHINA"
"Stevens","Stevens"
"Nystrom","MAHAFFEY-NPC"
"POWNALL","Wales"
"Gosney","Australia"
"Panto","Hassett"
"Nab","NETH. ORANGE"
"Hampson","USA"
"Boer","Team 2"
"Sontag","Team 2"
"Badrankova","AWAY"
"Cardile","BO - Tamburrini"
"Che Hung K","Debonaire"
"Girollet","BC Clichy 2"
"Jellouli","Tunisia"
"Senior","Team 1"
"North","poland"
"Hayati","West Java"
"Rajesh D.","FORMIDABLES"
"Venkey","Chennai Online"
"Labaere V","BCOB"
"Shi HJ","Shanghai"
"ROMBAUT","NEVE"
"Pszczola","Mixed"
"BOCCHI ","LAVAZZA"
"Byrne","Byrne"
"Jeleniewsk","Grunt"
"Vivaldi","GS Idea Br. TO"
"Brightling","Thompson"
"Sbarigia","ITALY"
"DAUVERGNE","FRANCE"
"Samir","EGYPT"
"D.Sacul","BNI Jakarta"
"Sadek","Wadi Degla Club"
"MAHAFFEY","MAHAFFEY"
"Meckstroth","Meckstroth"
"ZIMMERMANN","MONACO FMB"
"Mouiel","QUANTIN"
"CICHOCKI","CICHOCKI"
"Fantoni","Weed - npc"
"Wang WM","Jin Ying"
"B. Jacobs","Oz Players"
"Lindsay","NIBU"
"Malmstrom","Polytech"
"Dong","China"
"FORNACIARI","FORNACIARI"
"PICUS","USA 2"
"Wu","China"
"R.C.Krishn","TRICKS"
"RAMER","Netherlands"
"PASSELL","USA2"
"ck880086","NTOU"
"Salensminde E","Norway"
"Hamdan","Lebanon"
"shibnath d","C.V.RAO"
"Kulchycky","CBAI"
"Canesi","Italy"
"Lam ZY","Singapore"
"Bojoh L","Mitra Buana"
"Ste Marie","BESSIS"
"Joe Grue","USA 2"
"SATYANARAY","INDIA"
"Guo W","Shihua"
"West","BTU-V"
"Goren","USA"
"Zhang Yu","Zhejiang Ladies"
"KRANYAK","USA"
"M Kwiecien","Mixed"
"Rumen","Bridge Plus"
"S Picus","Narasimhan"
"Bao WX","Shanghai Ladies"
"WLADOW","Germany"
"","Yeh Bros"
"NIEMEIJER","Netherlands"
"Armstrong","PD Hackett"
"BRANCO. M","BRAZIL"
"NICKELL","Nickell"
"Michaud","Michaud"
"Shivdasani","Deutsch"
"Xiao ZL","Wellwiss"
"Ma","Pearl River"
"I Sime","Sime"
"Rosenberg","Fleisher"
"FANTONI","PARIOLI - ITALY"
"Tolliver","Lusky"
"BRIGHTLING","AUSTRALIA"
"BATHURST","USA 2"
"Sumit M","C.V.Rao"
"SJOBERG Em","SWEDEN"
"Wittes","USA 2"
"Jacobs","Modalfa"
"North","QUINN"
"Kang YG","Cai Fu Zheng Quan"
"BINDERKRAN","NORDEN"
"Kamil","Sherman npc"
"Mari","BESSIS"
"DeWijs","Netherlands"
"FANTONI F.","ZIMMERMANN"
"Jones","Waikato"
"Hristoiv","Botev - Vraca"
"Reisig","CAYNE"
"Argelazi","Israel"
"MIHOV","Israel"
"Mestiri","Tunisia"
"Bertheau","De Knijff"
"Tully","Lusk"
"YADLIN DO","ISRAEL EIDI"
"Schollaard","NETHERLANDS"
"Hayati","Geologi Timah B"
"FU Zhong","CHINA SMEG"
"Blakset L","Denmark"
"Anthony S","Djarum 2"
"F Bakkeren","'t Onstein 2"
"Wang","GU"
"SIMPSON","ENGLAND"
"Rodwell ","NICKELL "
"MARIANI","FORNACIARI"
"prohorov","Prohorov"
"NUNES","TCP RM Angelini"
"Smith","MELTZER"
"Ito","Umisen Yamasen"
"CHEN Chuan-Cheng","CHI TAIPEI"
"Gitelman","Lynch"
"Mandolang","Indonesia"
"Lanzarotti","Ventin"
"Sumanti","Banteng Selatan"
"SABOURIN","CANADA"
"De Wijs","L'Orange"
"Vibhas tod","SREE CEMENT"
"Koiskinen K","Finland"
"Sylvan","Swedem"
"Vulcan","Bate Tot"
"Sigurhjartar K","Iceland"
"Dick Freeman","Nickell"
"Hyang","SCHUETT"
"Padon","Israel Juniors"
"Newell","Reid (NZ)"
"Joe Grue","USA Cheek"
"FW. Gong","Chinese Taipei"
"Mayefsky","CHUBUKOV"
"Gierulski","Team Poland"
"TRENTKA. P","HUNGARY"
"BERTHEAU","De Knijff"
"Salesbury","Wales"
"Jiang Tong","Li Xiao Lei"
"ZACCARIA","SAN MARINO"
"David P Hu","Syabas Gabrial-UI"
"Sambuaga","Gorontalo"
"Piganeau","Piganeau"
"Supeno S","Djarum 1"
"Ricciarell","RE - FORNACIARI"
"Tamburi","Bologna"
"Helmich","Nijmegen"
"Mancini","Bo - Tamburrini"
"Havas","AUSTRALIA"
"Drijver","Net white"
"Naruszewic","Krakow 2"
"Chen QY","Xin Zhu"
"LiuHaiTao","Hengsha"
"Cao XL","Zhejiang"
"Grosset","Malarme"
"Badal","C.V.RAO"
"McManus","Milne"
"ROBINSON","ROBINSON"
"Miura","Japan-Czech"
"Richman","Gaspar"
"Tanudjan","Nanning"
"Waterlow","PD Hackett"
"M. El-Bada","El Shams Club"
"Lester","Lilley"
"RUDAKOV","Russia"
"T. Paske","England U20"
"Manoppo E","Bhineka"
"M.KOPECKY","Japan-Czech"
"Bessis T.","Bessis"
"piekarek","Germany"
"Jake Corry","N.Ireland"
"Snow","NSW"
"DEMUY","CANADA"
"Ginossar E","Israel"
"Yiu WS","Hong Kong"
"Faigenbaum"," FRANCE"
"Hou Xu","CHINA Evertrust"
"TOWNSEND. ","ENGLAND"
"Amano","Japan 2"
"Bessis M.","IZISEL"
"T BROGELAN","TROLL"
"Buchen","Australia"
"Sementa ","Team Assael"
"P Hackett","Armstrong"
"Hu Lin Lin","Shiji Changda"
"Dai JM","Qi Zhong"
"Slemr","Czech Rep"
"Einarsson","Iceland"
"PETERSSON","SWEDEN"
"Peake","Green"
"J.Lall","Allegaert"
"MOLENAAR","HET WITTE HUIS"
"Lesniewski M","Bulgaria"
"Rybnikov","West"
"Xie ZB","Jian Hua"
"Stewart","ROBINSON"
"Kirby","CBAI"
"Livgard","NTNU"
"S.Auken","Mixed"
"Bakir","Guadeloupe"
"HUGONY","VINCI"
"Kristianse","Bergen Akadem BK"
"Mina A.","REGGIO EMILIA"
"Eisenberg","Izisel"
"Anthony","Djarum 2"
"FitzGibbon","IRELAND"
"Janssens H","Squeeze 1"
"ARONOV","Bulgaria K1"
"G Helgemo","Europe"
"Giubilo","SSD ANGELINI BRIDGE"
"TCHOLAKOV","BULGARIA"
"Lanzarotti M","Spain"
"Drijver","Het Witte Huis"
"Galinsky","Galinsky"
"Takeuchi","SIX ROSES 2009"
"Pilipovic","Croatia"
"Mello R.","Brum"
"ACAR","TURKEY"
"G Grotheim","Norway"
"M Kwiecien","Down Under"
"Igla","POLAND"
"Alan Sontag","Meltzer"
"Einarsson","ICELAND"
"Dana","CENTRAL JAVA"
"Mohtashami","Renouard"
"Zhou Songh","Shanghai Jinchang"
"GIUBILO","Angelini"
"Gu","CHINA"
"PAPARO","ITALY RED"
"lasserre","LEENHARDT"
"PIGEAUD","FRANCE"
"Setoguchi","Japan"
"Xiao ZL","Wellwise"
"Zatorski","POLAND"
"Lynn Baker","Dinkin"
"Andrea","Paris Est"
"Wuermseer","Germany A"
"DUBOIN","ITALY - Allegra"
"Vulcan","Romania 2"
"CIMA","ITALY"
"L Milne","New Zealand"
"RENGSTORFF","FOUT"
"VOLOZHENIN","RUSSIA"
"Gan XL","Qi Zhong"
"nehmert","Germany"
"Vinay","Konga"
"Tesla","MOO YORK NIX"
"Pritchard","Croatia"
"T.Yalcin","Contact 1"
"Steve Weinstein","Jacobs"
"Kalita","Warsaw 1"
"Bozemberg","Karamanlis"
"Toffier","BESSIS"
"P Huang","Chinese Taipei"
"Lauria","Angelini-TC Parioli"
"Drijver B.","Netherlands"
"Helgemo","MONACO"
"Lanzarotti","LAVAZZA"
"Howard.N","AUSTRALIA"
"ORLOV","SILVER EAGLE"
"Cullin","Konga"
"North","McMahon"
"Ehlers","FOUT"
"Dekkers L.","NED GIRLS"
"Giorgieri ","Totani"
"bessis","France"
"Li Xin","Dong Ming"
"J Upmark","Sweden"
"Maior","Romania"
"GAVEL W","MARTENS"
"O. Bessis","Bessis.O"
"KHOLOMEEV","KIRILENKO"
"HAUGHIE","AUSTRALIA"
"Martell. S","Genova"
"Ferraro","Gr.Sp.Ass. Allegra"
"Shi ZJ","Beijing Xinyuan"
"Lambardi.P","Chagas"
"Gosney","Horwitz"
"FOSSI","A.S.D. FIRENZE"
"Matisons","Latvia"
"Guitta","Mohtashami"
"J.PASMAN","Netherlands"
"A. Cheng","Ambassador"
"Jagniewski","Piasecki"
"Holland","England"
"NEVE","NEVE"
"Kranyak","DEUTSCH"
"Franco","RE - FORNACIARI"
"J.Grue","USA"
"Hu LL","Shiji Changda"
"Ghigheci","ROMANIA"
"Feldman","Robinson"
"A Peake","Green"
"McGANN","Europe"
"Danailov D","Bulgaria"
"Gromov","Milner"
"S. HANS","Australia"
"Smirnov A","Germany"
"L'ecuyer","CANADA"
"Fera","Djarum 1"
"Chagas","Campos"
"CHRISTIE","AUSTRALIA"
"Janiszewsk","SARNIAK"
"ELINESCU M","GERMANY"
"Ventin","Ventin"
"","Japan"
"Verbeek","Netherlands U25"
"Niedzielsk","CONSUS Kalisz"
"Von Arnim","Europe"
"Garber","TRITT"
"Junqueira","Maia"
"Hoftaniska","Hordaland 2"
"Levy A.","Le colonial"
"Cronier","FISK"
"FagerlundV","FINLAND"
"Dawson","LYNCH"
"Amsel Alon","Squeeze"
"Westheimer","Westheimer"
"Madsen","BK 83 Slagelse"
"Duninin","Russia/Poland"
"Kulchyky","CBAI"
"Kuo.P","CH.TAIPEI"
"Narkiewicz","Pacific"
"Chubarova","Russia"
"Cohen","MELTZER"
"Hackett","Armstrong"
"Gramov","Russia/Poland"
"Molson","Moss"
"Tse","Chinese Taipei"
"","BCAT - ITALY"
"SAWIRUDDIN","INDONESIA"
"DE LUCCHI","MI - ROSETTA"
"David Law","Mal - Phi"
"Arnim","Germany"
"Lin Ya Fu","Shenzhen"
"SIMONS","Netherlands"
"DRIJVER Ba","NETHERLANDS"
"Sun Ming","Huan Qiu Shi Bao"
"Mc Leish D","Kwiecien"
"Jansma","Ekeblad"
"Radisic","SERBIA"
"Liran","ISRAEL"
"G. Duboin","Italy Lavazza"
"DenisTiray","Sulut Perjuangan"
"DE WIJS Si","NETHERLANDS"
"Kovachev","Wolfarth"
"De Pagter","Netherlands RED"
"East","Short"
"Py","France"
"Franky K","Djarum 1"
"Juuri-Oja","JuuTools"
"Bessis M","Bessis"
"BOS","NETHERLANDS"
"Vorobeychi","Team 1"
"P Hackett","Pharon"
"GALAKTION","RUSSIA"
"G Duboin","Italy"
"Joyce","CBAI"
"MADALA","G.S.ALLEGRA"
"H Lall","Hollman"
"Zmudmunsk","Gromov"
"Hoffman","Israel"
"Avdeev","Team 2"
"LEVY","CHEMLA"
"Hydes","Irens"
"Lauria","TC Parioli ITA"
"Ingimarsso","Iceland"
"Soulet P.","PAYEN"
"Pudlik","PIAST"
"Trendafilo","Autbul"
"GIANARDI","REGGIO EMILIA"
"M Brunner","England"
"GERRARD","SCOTLAND"
"zimmermann","FRANCE"
"CICCARELLI","CICCARELLI"
"COMMINS","Wales"
"Argelazy","Israel U 25"
"Kowalski","KALITA"
"ALLFREY","ENGLAND"
"Jankova","Czech Republic RED"
"GROMOV And","RUSSIA"
"Mooney","Argentina"
"KAPREY","SOUTH AFRICA"
"MALINOWSKI","DE BOTTON"
"Marston","Noble"
"Liu DY","Jin Fu"
"Marston","Marston"
"NISBET","CANADA"
"Bridge Baron","Bridge Baron"
"Helmich","Netherlands Blue "
"Seamon-Mol","Steiner"
"Nilsson","Sweden"
"Reim A","Germany"
"M.LUND MADS","Denmark"
"Mihov","VITO"
"Demuy","Spector"
"Sumith","Indian Railways A"
"GROSS  S","GROSS"
"Brown","McGann"
"Peng J F","Jinrongjia"
"H Wang","CHINA LADIES"
"Thuillez","Dechelette"
"Zimmermann","MEYER"
"Padon","Israel U25"
"katerbau","Germany"
"Wohon","North Celebes"
"AKER","TURKEY"
"tuerah","South Jakarta"
"D.Sacul","BNI 46 Jakarta"
"S_Auken","GERMANY"
"P Brum","BRANCO"
"W K Chan","China Hongkong"
"A.Rantung","PAPUA"
"D.Kowalski","ASKO TECH Warsaw"
"Wortel","NET"
"Molenaar","NETH. RED"
"Martin","Rep Ireland"
"BRUUN","SCHALTZ "
"Beauvillai","Beauvillain"
"Gaviard","Femme"
"MARSTRANDE","NORWAY"
"Seepersad ","Trinidad & Tobago"
"BACHIRAJU.","INDIA"
"Sproule","NIreland"
"Shao","Wu"
"J.Y. Shih","DEPPO"
"Rogoff","Rigal"
"J.NAB","NED GIRLS"
"Olech","TEAM2"
"brotheim g.","Norway"
"KATZ","JACOBS"
"Bojoh","Indonesia"
"balicki","Computerland POL"
"KANDEMIR","TURKEY"
"JP Campos","Jeovani"
"GROMOELLER","Bamberger Reiter"
"Majdanski","WALA"
"T Bakkeren","Netherlands"
"Delmonte","Grue"
"Jason","Pharon"
"He ZY","Yi Tong"
"DRIJVER","VITAS"
"Verbeek","Netherlands"
"Wang","Dragon Cartoon"
"Bardsen","FJORDS OF NORWAY"
"L.Poplilov","DHONDY"
"JuHackett","England"
"Mouritsen","Faroe_Isl."
"JLALL","Milner"
"Hargreaves","Canada"
"Purki","Fucik"
"Dijkgraaf","Neth Girls and boys"
"Cambiaghi","S.GIORGIO SANNIO"
"NIKOLOV","TITAN"
"Jed","Neill"
"U Jansons","Latvia"
"North","MAHAFFEY"
"Zmudzinski","Baze"
"LINDQVIST ","NORWAY"
"Wang Jian","Jinrongjia"
"Bessis V","Bessis"
"BAKKEREN","Vriend"
"M.Kopecky","Japan-Czech"
"Schwartz","Israel U 25"
"Volcker","Galinsky"
"dongyongli","Huayuan"
"GREPPI","POZZI"
"BARTKOWSKI","AWAY"
"Boyd","ROBINSON"
"Shanurin","Team 1"
"Vesturkle","Faroe_Isl."
"Peake","AUSTRALIA"
"Gierulski","BUSSE"
"Greenberg","USA1"
"Wang HL","Zhejiang Ladies"
"Carmichael","Carmichael"
"LU","China"
"TIMAKHOVIC","Belarus"
"Coenraets P","BEL"
"Lilley","Rosendorff"
"hickman.a","England"
"Winkel","STAR"
"Ju. Hacket","Europe"
"Kubak","Austria"
"Olanski","Garsu pasaulis"
"Helmich","Netherland White"
"Chiba","Canterbury"
"Baldursson","REYKJAVIKUR"
"SEAMON MOL","USA"
"J. Hop","EW"
