"Board ID","Round ID","Dealer","Vulnerability","Team One IMPs","Team Two IMPs"
58820,3930,1",N",5,-5
61970,4124,1",N",-2,2
13478,883,1",N",-1,1
32034,2155,2",B",-2,2
15,0,2",E",-1,1
17336,1145,4",O",3,-3
23321,1596,2",E",3,-3
57815,3867,3",O",-6,6
68419,4508,3",O",-1,1
21744,1476,4",N",-1,1
8602,571,3",O",-22,22
40357,2692,2",N",2,-2
40486,2699,2",B",-7,7
53643,3602,4",O",-1,1
62698,4168,4",N",4,-4
82042,5437,4",B",11,-11
29858,2036,1",B",-12,12
26141,1800,3",E",-1,1
43264,2876,4",N",2,-2
25708,1771,4",O",20,-20
45892,3071,3",N",2,-2
45786,3064,1",O",6,-6
36797,2468,1",O",-5,5
1635,106,2",B",13,-13
49850,3352,2",O",-1,1
21993,1493,1",B",-13,13
53580,3598,3",E",-2,2
85092,5635,2",E",-11,11
78666,5203,4",O",-1,1
14685,961,4",O",-6,6
24507,1685,3",E",-3,3
3996,264,1",B",-1,1
60528,4037,1",E",-12,12
13037,861,4",N",4,-4
11562,771,4",N",-7,7
68278,4500,2",O",10,-10
68077,4487,3",E",13,-13
49814,3350,2",B",-11,11
83238,5516,3",B",-1,1
44231,2944,1",B",-3,3
70553,4654,4",B",-1,1
3879,256,4",B",-25,25
12094,808,4",B",16,-16
39881,2665,2",E",4,-4
4224,281,1",B",-6,6
14,0,1",N",6,-6
49336,3318,3",N",-12,12
65552,4337,2",E",4,-4
10090,671,4",O",2,-2
33892,2284,2",O",-1,1
36217,2431,2",B",4,-4
22708,1549,1",B",-14,14
48070,3228,4",N",-12,12
36614,2457,1",B",-14,14
37835,2533,1",B",4,-4
14119,924,1",B",-14,14
44305,2949,3",N",7,-7
39599,2649,1",E",5,-5
57915,3874,2",B",-13,13
60534,4037,3",E",3,-3
54937,3686,4",O",8,-8
17919,1185,4",N",-1,1
54668,3669,3",B",-1,1
32511,2184,4",N",-1,1
14706,962,1",N",-6,6
42312,2816,4",E",10,-10
23659,1618,2",E",-1,1
32237,2167,3",O",3,-3
10634,707,2",O",2,-2
32790,2205,3",O",3,-3
41030,2729,2",E",-5,5
223,13,2",E",-1,1
49815,3350,3",N",14,-14
83447,5530,4",N",12,-12
42536,2830,2",O",-2,2
56226,3768,3",O",12,-12
54383,3651,4",E",10,-10
54648,3668,3",E",14,-14
37234,2496,3",N",11,-11
17758,1175,3",O",3,-3
6674,442,2",E",-2,2
23583,1614,2",O",-3,3
8310,551,4",O",7,-7
81116,5371,2",O",-6,6
32438,2179,3",E",-6,6
87726,5811,3",B",-13,13
45983,3077,2",N",-12,12
32261,2168,3",B",-4,4
79490,5263,3",E",-6,6
5384,358,3",E",3,-3
20694,1379,2",N",1,-1
64780,4291,4",E",-3,3
36267,2434,4",E",-3,3
50874,3420,4",N",3,-3
46533,3120,3",E",-13,13
9961,663,3",N",-16,16
10110,673,4",N",-2,2
73876,4886,1",N",-11,11
65903,4359,1",E",-3,3
36245,2433,4",N",-16,16
79063,5231,1",B",-14,14
23690,1621,1",E",-1,1
66412,4387,2",E",-1,1
77737,5145,3",O",3,-3
18402,1218,4",E",22,-22
12845,851,4",N",-1,1
62361,4147,3",O",-1,1
52897,3553,2",B",-8,8
85031,5632,1",E",7,-7
49983,3361,3",B",6,-6
31497,2126,1",O",6,-6
56829,3803,2",O",6,-6
9244,615,3",E",-1,1
5466,363,1",O",-12,12
23419,1603,4",N",-1,1
55001,3690,4",O",-1,1
68282,4500,2",N",-1,1
79984,5296,3",E",7,-7
51963,3491,4",O",-9,9
5129,341,1",E",-3,3
53334,3581,3",B",-12,12
53625,3601,2",N",6,-6
67270,4438,2",E",-4,4
41773,2784,2",N",-1,1
48104,3230,3",N",11,-11
42931,2853,1",E",-6,6
52,3,3",N",-1,1
40923,2722,2",N",4,-4
76672,5072,2",O",-2,2
59749,3988,4",B",-14,14
44507,2964,1",B",13,-13
75552,4998,4",E",-1,1
76591,5067,1",B",3,-3
35814,2404,4",O",6,-6
2417,159,1",B",14,-14
72072,4761,2",B",-1,1
29152,1989,2",E",14,-14
40270,2688,3",N",12,-12
44175,2940,1",N",3,-3
20407,1361,3",B",12,-12
74658,4938,1",O",7,-7
74778,4948,3",O",11,-11
37146,2491,1",N",-11,11
62930,4182,4",B",2,-2
10363,689,2",B",-1,1
8034,533,2",O",-3,3
79160,5239,4",N",6,-6
83657,5542,3",B",-12,12
32716,2200,3",O",12,-12
3389,223,2",O",-4,4
44065,2933,1",B",-10,10
49540,3331,3",B",-2,2
26814,1842,2",O",-1,1
52785,3544,2",O",-3,3
41474,2761,4",B",14,-14
72234,4774,2",N",-1,1
21111,1416,3",N",12,-12
13439,881,2",E",7,-7
82636,5476,3",N",-14,14
85979,5703,4",N",-11,11
23816,1629,3",N",1,-1
83712,5546,3",N",-4,4
63702,4229,2",O",7,-7
35228,2368,4",B",-1,1
3244,213,2",E",12,-12
78194,5175,4",E",-12,12
28149,1926,3",N",-8,8
83955,5561,2",E",-1,1
28696,1960,3",E",7,-7
26520,1824,4",O",7,-7
87754,5813,3",E",-12,12
77856,5152,2",N",-1,1
43621,2901,3",B",11,-11
81628,5406,4",E",-15,15
44838,2992,1",O",-1,1
3885,256,2",E",-1,1
25634,1767,4",E",-15,15
80291,5317,3",B",14,-14
31508,2127,4",N",-1,1
41339,2750,3",E",12,-12
38125,2550,1",B",-4,4
36626,2458,1",E",-1,1
69339,4569,1",B",6,-6
19001,1259,2",O",-1,1
59201,3955,2",B",-1,1
54748,3674,3",E",-2,2
57038,3817,1",B",2,-2
49532,3331,3",N",-3,3
36985,2480,3",B",-1,1
54760,3675,1",N",-3,3
40326,2691,3",O",8,-8
23245,1591,4",O",6,-6
30158,2056,4",E",-2,2
78956,5222,4",O",-10,10
18412,1218,2",E",4,-4
15493,1011,4",E",2,-2
15838,1036,1",E",1,-1
32306,2171,2",O",-4,4
18145,1201,3",N",-1,1
63308,4205,4",B",13,-13
65948,4361,2",E",-3,3
67646,4461,2",B",-1,1
31469,2124,1",N",2,-2
81281,5382,1",O",8,-8
11692,780,4",B",-1,1
82996,5500,3",O",10,-10
86823,5754,2",B",-18,18
42922,2852,4",O",14,-14
67203,4434,3",B",-1,1
73414,4855,1",E",7,-7
9284,618,1",B",-2,2
15340,999,3",N",4,-4
55912,3749,3",B",-14,14
58744,3926,1",E",8,-8
59018,3943,3",N",-1,1
67922,4478,2",E",-8,8
78908,5218,2",E",2,-2
82878,5492,3",N",2,-2
9213,613,4",B",-2,2
75878,5018,2",O",13,-13
86334,5725,3",N",-1,1
43267,2876,3",N",3,-3
46637,3127,3",E",-1,1
70081,4623,3",N",-5,5
52530,3528,1",E",-1,1
16911,1116,3",N",-3,3
51843,3483,3",B",8,-8
30046,2049,4",O",-4,4
69497,4579,3",N",-1,1
76908,5087,2",O",-1,1
49723,3344,3",N",-1,1
63348,4208,4",N",-12,12
67602,4458,2",E",-1,1
71829,4743,3",O",5,-5
3370,222,3",O",3,-3
78654,5203,4",N",-4,4
87178,5775,3",E",7,-7
70972,4684,1",O",-1,1
38696,2588,1",O",3,-3
75083,4968,2",O",-1,1
62039,4128,2",E",14,-14
78088,5168,2",N",-1,1
80005,5298,4",N",-1,1
75743,5009,3",B",-11,11
39290,2630,4",O",12,-12
29817,2033,3",B",-1,1
74911,4957,4",N",12,-12
23365,1599,2",N",15,-15
3944,261,1",E",-6,6
39330,2632,4",N",-1,1
28819,1968,2",B",-1,1
71426,4714,4",B",17,-17
35346,2377,4",E",-14,14
20296,1354,4",O",11,-11
41915,2792,4",E",-1,1
86264,5720,1",N",-1,1
79450,5261,3",O",-1,1
2130,139,1",E",2,-2
43051,2861,2",O",2,-2
51423,3456,3",O",-1,1
83842,5554,4",E",-1,1
29499,2011,1",B",-1,1
26844,1844,4",B",2,-2
76713,5075,3",N",8,-8
37396,2506,4",O",-12,12
78214,5176,4",B",-1,1
78120,5170,2",N",-6,6
24068,1646,2",E",-13,13
64282,4264,4",E",-1,1
29098,1986,2",E",-9,9
36640,2459,3",O",12,-12
10595,705,3",N",-1,1
59394,3967,1",E",4,-4
53366,3583,3",B",-15,15
18938,1255,1",B",-2,2
85895,5697,4",O",-6,6
75587,5000,1",O",-1,1
70378,4642,1",B",13,-13
78138,5171,4",O",-11,11
19228,1275,3",N",8,-8
27932,1912,1",N",-18,18
47347,3181,3",O",-1,1
11106,739,4",B",12,-12
47839,3213,3",N",-1,1
19978,1332,3",O",-8,8
42209,2809,3",B",2,-2
12073,807,4",N",-12,12
23233,1591,4",N",6,-6
87827,5818,4",N",-9,9
44667,2977,4",O",7,-7
594,37,1",B",7,-7
19802,1318,2",B",-1,1
51446,3457,2",O",-1,1
76664,5071,2",E",-4,4
50553,3398,3",B",-7,7
7265,482,4",O",5,-5
33140,2232,1",B",-1,1
7544,501,4",E",-1,1
73641,4870,2",B",-12,12
78170,5173,4",O",-1,1
21831,1481,3",E",10,-10
21940,1489,4",E",-2,2
73340,4850,3",E",-1,1
30711,2085,3",E",12,-12
51935,3489,4",B",2,-2
82976,5498,4",B",4,-4
49973,3360,3",E",13,-13
75428,4991,2",B",-8,8
10860,722,4",O",-1,1
76081,5032,2",O",4,-4
9240,615,3",N",7,-7
21387,1444,3",O",2,-2
8743,580,2",B",-16,16
46338,3102,3",N",7,-7
6579,435,4",E",9,-9
43728,2911,2",B",10,-10
36515,2450,3",B",-13,13
64360,4268,4",O",-12,12
7977,529,1",N",12,-12
69054,4551,4",N",-4,4
55103,3698,4",N",-14,14
17289,1142,3",O",2,-2
68385,4505,1",E",11,-11
21978,1492,2",O",-11,11
56719,3795,4",O",-5,5
62586,4161,4",E",-1,1
10974,730,4",O",4,-4
14324,939,4",O",8,-8
27884,1909,1",N",-1,1
36112,2424,3",E",-13,13
65496,4334,2",O",6,-6
35816,2405,4",N",-5,5
78148,5172,2",O",4,-4
70183,4629,3",E",-1,1
3335,219,2",O",5,-5
61541,4098,2",N",8,-8
70400,4644,1",O",-1,1
32094,2159,2",O",-2,2
66246,4378,4",B",1,-1
15949,1044,1",B",-2,2
19487,1294,1",O",-1,1
23762,1625,1",N",-7,7
86926,5759,3",B",-2,2
70416,4645,3",O",6,-6
60263,4021,4",N",-11,11
75829,5015,1",E",2,-2
27887,1910,4",N",-1,1
73682,4873,4",E",-15,15
30712,2085,4",B",9,-9
61821,4115,4",O",-13,13
86034,5706,3",E",-15,15
38054,2546,2",E",16,-16
20592,1373,4",E",4,-4
87821,5817,2",N",7,-7
74073,4898,2",B",-1,1
27036,1856,3",B",-2,2
36299,2436,1",O",-4,4
80165,5309,2",B",12,-12
12830,850,1",B",-1,1
10123,673,1",N",-7,7
60491,4034,4",O",-1,1
17909,1184,2",N",-6,6
815,48,2",O",9,-9
57764,3863,1",E",-1,1
30696,2084,4",O",-3,3
50450,3391,2",E",-1,1
62696,4167,2",B",-1,1
62549,4159,3",N",7,-7
86695,5748,2",B",6,-6
1340,84,4",E",9,-9
20161,1345,1",O",5,-5
76834,5082,4",B",-1,1
61894,4120,1",E",2,-2
8794,583,2",N",2,-2
30791,2089,3",E",-4,4
52985,3559,2",B",-1,1
21230,1428,2",B",-1,1
23891,1634,3",E",-1,1
67280,4439,4",B",3,-3
42296,2815,1",B",-14,14
34972,2354,2",N",14,-14
55986,3754,1",B",15,-15
52494,3525,1",N",8,-8
62422,4151,4",B",4,-4
24311,1663,2",B",17,-17
81007,5364,2",O",-2,2
16363,1078,3",O",3,-3
45801,3065,4",B",12,-12
59933,3999,4",O",-8,8
33915,2285,1",N",-1,1
22269,1513,1",N",-7,7
26045,1794,4",O",-3,3
42709,2840,2",B",12,-12
29207,1993,2",O",-1,1
44681,2978,2",O",-15,15
58390,3904,3",O",-2,2
9462,630,3",O",-1,1
76479,5060,1",B",-1,1
9773,650,1",N",11,-11
19414,1288,2",N",-3,3
59270,3959,1",O",4,-4
59584,3978,3",B",-1,1
12061,806,2",O",-6,6
43884,2922,4",N",13,-13
70815,4672,4",N",-2,2
78276,5180,2",O",-8,8
2006,130,4",N",6,-6
45600,3050,1",N",-9,9
52024,3495,1",N",2,-2
85157,5640,3",O",-1,1
55369,3715,4",E",2,-2
8756,581,3",E",7,-7
3306,217,4",B",4,-4
46904,3146,1",E",-3,3
15386,1002,1",O",7,-7
4655,308,1",N",-6,6
61401,4090,2",O",-13,13
43186,2869,4",E",11,-11
44360,2953,2",B",15,-15
28004,1917,2",B",2,-2
55541,3726,4",E",8,-8
7853,521,4",O",3,-3
36444,2446,2",B",-1,1
54765,3675,2",B",-13,13
2890,191,1",E",14,-14
75603,5001,1",O",-6,6
69888,4609,2",N",-1,1
3325,218,3",B",-2,2
54495,3658,2",O",-2,2
81134,5372,1",O",-1,1
76014,5028,3",O",3,-3
75554,4998,2",O",-13,13
73126,4835,1",O",2,-2
61642,4105,1",E",-2,2
13623,890,2",B",6,-6
36291,2436,1",E",-2,2
42662,2837,3",B",-16,16
87537,5799,2",B",-17,17
26373,1815,1",B",-15,15
54943,3687,2",B",2,-2
82250,5451,4",N",-1,1
47863,3214,3",B",-3,3
10021,667,3",E",3,-3
42187,2808,1",B",-1,1
13092,863,3",O",3,-3
4938,327,1",N",-13,13
47418,3185,2",E",-13,13
19180,1272,3",N",-1,1
21280,1433,4",O",-14,14
55519,3724,4",B",3,-3
53642,3602,3",B",-5,5
38122,2550,2",B",-15,15
45312,3025,2",N",-1,1
29646,2022,3",B",2,-2
71637,4728,1",E",-1,1
54825,3679,2",N",-14,14
30263,2062,1",E",8,-8
49329,3317,4",O",-2,2
10177,677,3",E",-1,1
3664,240,1",N",-1,1
55086,3697,3",O",2,-2
54585,3664,2",O",-12,12
71942,4750,4",B",-4,4
75003,4963,2",B",2,-2
39117,2619,3",B",-13,13
17209,1136,3",N",-1,1
55572,3728,3",N",-1,1
8805,584,2",O",-11,11
72033,4758,1",E",-8,8
1510,96,4",O",-2,2
35180,2365,2",B",-1,1
70730,4666,3",B",8,-8
73240,4844,1",E",-15,15
20188,1348,4",N",3,-3
3144,207,4",E",3,-3
21449,1450,1",B",4,-4
48252,3240,1",O",-2,2
45931,3073,2",E",-2,2
71540,4721,2",N",6,-6
23362,1599,3",E",-2,2
41007,2728,3",O",5,-5
6489,428,4",O",-10,10
74090,4899,3",N",-1,1
62872,4178,2",E",-1,1
36863,2473,1",N",2,-2
55401,3717,4",E",-1,1
62786,4173,4",B",-1,1
53242,3576,3",O",5,-5
70628,4659,3",B",12,-12
56934,3810,1",E",-5,5
62645,4165,3",O",2,-2
74076,4898,1",B",13,-13
72989,4825,1",N",-12,12
48154,3234,4",B",-3,3
47581,3196,2",O",7,-7
30496,2074,4",O",-6,6
10985,731,3",E",-1,1
21966,1491,2",N",-1,1
38673,2586,4",N",9,-9
54108,3632,1",O",5,-5
55022,3692,1",E",-1,1
55805,3743,4",N",-6,6
2369,156,1",E",3,-3
59115,3949,2",N",-8,8
52274,3511,1",O",7,-7
24945,1721,2",B",-4,4
39930,2669,3",N",13,-13
22161,1503,1",N",-1,1
85319,5650,1",O",-1,1
26535,1825,3",B",-6,6
3773,249,3",O",13,-13
73923,4889,4",O",-1,1
86069,5708,2",N",-1,1
87742,5812,3",B",-2,2
18735,1241,2",N",-13,13
82317,5455,4",O",-1,1
48379,3249,3",B",2,-2
70951,4683,2",B",2,-2
28227,1931,1",E",-1,1
27962,1914,3",B",8,-8
78173,5174,3",O",6,-6
59546,3976,1",B",-1,1
37664,2523,2",N",-3,3
79655,5274,3",E",-8,8
29940,2042,3",B",-13,13
39110,2619,4",E",-1,1
51356,3451,4",O",5,-5
77253,5112,3",E",5,-5
85871,5696,4",E",-7,7
77332,5118,4",N",7,-7
72822,4815,2",O",-1,1
23069,1580,4",N",8,-8
34484,2323,4",N",-1,1
67349,4443,1",O",-1,1
67533,4455,1",E",13,-13
5135,341,3",E",-1,1
28854,1970,1",B",15,-15
73578,4866,3",E",-16,16
43458,2891,3",N",14,-14
34624,2332,2",N",-5,5
6590,436,3",O",-1,1
2946,194,2",N",16,-16
87470,5795,3",O",-12,12
59616,3980,3",B",-6,6
1978,128,4",N",-11,11
41289,2747,1",B",-15,15
4950,328,1",B",2,-2
23186,1588,1",E",14,-14
37332,2502,1",N",6,-6
56479,3781,4",B",-1,1
38389,2566,4",O",6,-6
45636,3053,1",O",-11,11
51970,3492,3",N",2,-2
41722,2781,3",N",-3,3
21266,1431,4",B",-1,1
62683,4167,1",B",8,-8
311,19,2",O",-11,11
13206,870,1",E",-4,4
25649,1768,3",O",-1,1
72240,4775,4",N",12,-12
10004,666,2",O",-3,3
79694,5277,3",N",-14,14
8476,562,2",N",-11,11
35541,2387,3",O",-3,3
65610,4341,4",B",3,-3
83325,5522,3",N",4,-4
73248,4844,1",O",3,-3
51413,3455,1",B",-17,17
33615,2265,4",E",-4,4
45015,3003,2",N",7,-7
36838,2471,4",E",-11,11
49519,3330,2",O",-8,8
46876,3144,1",B",13,-13
65314,4323,4",B",7,-7
87697,5809,2",B",4,-4
21458,1451,4",E",-7,7
43180,2868,2",B",-21,21
56277,3771,2",O",-2,2
62022,4127,1",N",-1,1
34808,2342,2",O",-1,1
32541,2186,2",N",-6,6
61242,4080,3",E",3,-3
37451,2509,4",N",-7,7
48208,3237,1",N",2,-2
61782,4113,1",O",-2,2
52718,3540,3",N",-16,16
2199,144,4",E",-10,10
48091,3229,2",O",-1,1
58358,3902,1",O",4,-4
32825,2208,2",B",-16,16
44840,2992,3",B",-1,1
56003,3755,4",B",-6,6
62836,4176,2",N",-2,2
85669,5683,2",N",-13,13
24124,1649,4",B",-9,9
8852,588,1",O",-3,3
83014,5501,1",B",3,-3
30818,2090,2",E",3,-3
79635,5273,3",N",-16,16
35578,2389,4",N",12,-12
63844,4238,4",N",-1,1
2349,154,3",B",2,-2
45871,3069,2",E",7,-7
43634,2902,4",B",9,-9
66646,4400,4",B",-2,2
41960,2794,1",N",-7,7
9785,651,1",O",2,-2
14761,965,4",B",-4,4
51831,3483,3",O",-5,5
42155,2806,1",B",-1,1
38576,2578,3",E",-13,13
65116,4311,4",B",13,-13
10864,723,4",N",-5,5
10877,724,3",O",-1,1
54965,3688,4",B",7,-7
35928,2412,4",B",-1,1
86869,5756,2",B",-11,11
14599,957,2",O",3,-3
16932,1117,4",B",1,-1
65310,4323,4",E",3,-3
22168,1504,4",E",13,-13
79931,5293,4",N",-2,2
11163,743,3",N",-1,1
1339,84,3",N",13,-13
26111,1798,3",B",13,-13
81863,5425,2",N",4,-4
9073,603,4",B",-1,1
35789,2403,1",E",13,-13
33077,2227,4",N",-1,1
25356,1750,4",N",-1,1
309,19,4",E",-1,1
